Bil,Aset ID,"Kategori Aset 
(Pilih Kategori Yg Disenaraikan Shj)",Jenis Aset,Lokasi,Kuantiti,Vendor
60,ATM-543188,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu  - Center,1,HP
61,ATM-543189,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO
62,ATM-543190,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO
63,ATM-543191,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu  - Center,1,HP
64,ATM-543192,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu  - Center,1,EIZO
65,ATM-543193,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu - Bilik ARCC,1,HP
66,ATM-543194,Hardware,SERVER RACK,BRO-KK/ATCC K. Kinabalu - Equipment Room,1,HP
67,ATM-543195,Hardware,SERVER RACK,BRO-KK/ATCC K. Kinabalu - Equipment Room,1,HP
68,ATM-543196,Hardware,SERVER RACK,BRO-KK/ATCC K. Kinabalu - Equipment Room,1,HP
69,ATM-543197,Hardware,ROUTER,BRO-KK/ATCC K. Kinabalu - Equipment Room,1,CISCO
70,ATM-543198,Hardware,SWITCH,BRO-KK/ATCC K. Kinabalu - Equipment Room,1,CISCO
71,ATM-543199,Hardware,SWITCH,BRO-KK/ATCC K. Kinabalu - Equipment Room,1,CISCO
72,ATM-543200,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu - Simulator Room,1,Hewlett-Packard Enterprise
73,ATM-543201,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu - Simulator Room,1,Hewlett-Packard Enterprise
74,ATM-543202,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu - Simulator Room,1,Hewlett-Packard Enterprise
75,ATM-543203,Hardware,MONITOR,BRO-KK/ATCC K. Kinabalu - Simulator Room,1,EIZO
76,ATM-543204,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu - Equipment Room,1,HP
77,ATM-543205,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu - Equipment Room,1,HP
78,ATM-543206,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu - Simulator Room,1,Hewlett-Packard Enterprise
79,ATM-543207,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu - Simulator Room,1,Hewlett-Packard Enterprise
80,ATM-543208,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu - Simulator Room,1,Hewlett-Packard Enterprise
81,ATM-543209,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu - Simulator Room,1,Hewlett-Packard Enterprise
82,ATM-543210,Hardware,WORKSTATION,BRO-KK/ATCC K. Kinabalu - Simulator Room,1,Hewlett-Packard Enterprise
